Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",145.992889,-106.120000,180.000000,top
"C2","47n","C_0805_2012Metric",152.192889,-100.545000,0.000000,top
"D1","D_Schottky","D_SOD-123",147.217889,-103.195000,0.000000,top
"J1","Screw_Terminal_01x02","CONN-TH_P10.16_KF135T-10.16-2P",149.865389,-122.150000,0.000000,top
"J2","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",152.232889,-94.395000,-90.000000,top
"R1","0.5m","R_2512_6332Metric",149.892889,-111.595000,180.000000,top
"R2","130k","R_0805_2012Metric",151.967889,-103.420000,0.000000,top
"R3","220","R_0805_2012Metric",148.992889,-98.870000,-90.000000,top
"U1","INA169","SOT-23-5",149.817889,-107.095000,-90.000000,top
